Site,Plot,plot.number,Species,Tag,Date,pd_md,year,water_potential_mpa,Notes,Flag
Serpentine,Serpentine,,Blue,2043,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2043,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2043,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2043,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2043,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2043,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2044,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2044,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2044,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2044,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2044,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2044,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2045,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2045,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2045,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2045,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2045,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2045,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2046,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2046,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2046,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2046,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2046,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2046,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2047,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2047,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2047,2024-09-05,pd,,,,
Serpentine,Serpentine,,Blue,2047,2024-09-05,pd,,,,
